 2.00  5750. -5.0  2.0   0.6827    0.6597    0.0013
 2.50  5750. -5.0  2.0   0.6910    0.6330    0.0017
 3.00  5750. -5.0  2.0   0.6989    0.6088    0.0023
 3.50  5750. -5.0  2.0   0.7067    0.5843    0.0029
 4.00  5750. -5.0  2.0   0.7135    0.5625    0.0032
 4.50  5750. -5.0  2.0   0.7218    0.5322    0.0031
 5.00  5750. -5.0  2.0   0.7338    0.4939    0.0029
 0.00  6000. -5.0  2.0   0.6519    0.9089    0.0003
 0.50  6000. -5.0  2.0   0.6531    0.9045    0.0003
 1.00  6000. -5.0  2.0   0.6654    0.7162    0.0004
 1.50  6000. -5.0  2.0   0.6753    0.6626    0.0010
 2.00  6000. -5.0  2.0   0.6803    0.6464    0.0013
 2.50  6000. -5.0  2.0   0.6855    0.6294    0.0016
 3.00  6000. -5.0  2.0   0.6909    0.6111    0.0021
 3.50  6000. -5.0  2.0   0.6972    0.5907    0.0028
 4.00  6000. -5.0  2.0   0.7018    0.5767    0.0033
 4.50  6000. -5.0  2.0   0.7073    0.5542    0.0033
 5.00  6000. -5.0  2.0   0.7169    0.5213    0.0033
 0.50  6250. -5.0  2.0   0.6562    0.8710    0.0006
 1.00  6250. -5.0  2.0   0.6555    0.8683    0.0006
 1.50  6250. -5.0  2.0   0.6702    0.6727    0.0007
 2.00  6250. -5.0  2.0   0.6783    0.6321    0.0013
 2.50  6250. -5.0  2.0   0.6812    0.6213    0.0017
 3.00  6250. -5.0  2.0   0.6844    0.6090    0.0021
 3.50  6250. -5.0  2.0   0.6882    0.5954    0.0027
 4.00  6250. -5.0  2.0   0.6925    0.5804    0.0032
 4.50  6250. -5.0  2.0   0.6980    0.5591    0.0034
 5.00  6250. -5.0  2.0   0.7024    0.5415    0.0036
 0.50  6500. -5.0  2.0   0.6583    0.8457    0.0005
 1.00  6500. -5.0  2.0   0.6584    0.8342    0.0010
 1.50  6500. -5.0  2.0   0.6553    0.8335    0.0010
 2.00  6500. -5.0  2.0   0.6717    0.6351    0.0011
 2.50  6500. -5.0  2.0   0.6782    0.6033    0.0018
 3.00  6500. -5.0  2.0   0.6784    0.6009    0.0021
 3.50  6500. -5.0  2.0   0.6808    0.5930    0.0027
 4.00  6500. -5.0  2.0   0.6836    0.5829    0.0031
 4.50  6500. -5.0  2.0   0.6869    0.5699    0.0035
 5.00  6500. -5.0  2.0   0.6920    0.5493    0.0036
 0.50  6750. -5.0  2.0   0.6633    0.8059    0.0007
 1.00  6750. -5.0  2.0   0.6601    0.8070    0.0008
 1.50  6750. -5.0  2.0   0.6578    0.7986    0.0013
 2.00  6750. -5.0  2.0   0.6520    0.8032    0.0014
 2.50  6750. -5.0  2.0   0.6714    0.6042    0.0015
 3.00  6750. -5.0  2.0   0.6763    0.5838    0.0024
 3.50  6750. -5.0  2.0   0.6759    0.5837    0.0027
 4.00  6750. -5.0  2.0   0.6771    0.5784    0.0031
 4.50  6750. -5.0  2.0   0.6789    0.5710    0.0035
 5.00  6750. -5.0  2.0   0.6822    0.5568    0.0037
 0.50  7000. -5.0  2.0   0.6694    0.7555    0.0011
 1.00  7000. -5.0  2.0   0.6644    0.7649    0.0009
 1.50  7000. -5.0  2.0   0.6586    0.7710    0.0010
 2.00  7000. -5.0  2.0   0.6546    0.7672    0.0017
 2.50  7000. -5.0  2.0   0.6479    0.7740    0.0019
 3.00  7000. -5.0  2.0   0.6710    0.5797    0.0021
 3.50  7000. -5.0  2.0   0.6734    0.5686    0.0028
 4.00  7000. -5.0  2.0   0.6729    0.5683    0.0032
 4.50  7000. -5.0  2.0   0.6731    0.5660    0.0034
 5.00  7000. -5.0  2.0   0.6752    0.5560    0.0037
 1.00  7250. -5.0  2.0   0.6698    0.7135    0.0012
 1.50  7250. -5.0  2.0   0.6620    0.7283    0.0010
 2.00  7250. -5.0  2.0   0.6548    0.7375    0.0012
 2.50  7250. -5.0  2.0   0.6508    0.7375    0.0021
 3.00  7250. -5.0  2.0   0.6437    0.7464    0.0023
 3.50  7250. -5.0  2.0   0.6705    0.5566    0.0026
 4.00  7250. -5.0  2.0   0.6709    0.5526    0.0032
 4.50  7250. -5.0  2.0   0.6697    0.5551    0.0034
 5.00  7250. -5.0  2.0   0.6702    0.5501    0.0037
 1.00  7500. -5.0  2.0   0.6717    0.6690    0.0013
 1.50  7500. -5.0  2.0   0.6665    0.6776    0.0012
 2.00  7500. -5.0  2.0   0.6570    0.6959    0.0010
 2.50  7500. -5.0  2.0   0.6501    0.7071    0.0014
 3.00  7500. -5.0  2.0   0.6467    0.7090    0.0024
 3.50  7500. -5.0  2.0   0.6401    0.7184    0.0027
 4.00  7500. -5.0  2.0   0.6692    0.5453    0.0034
 4.50  7500. -5.0  2.0   0.6682    0.5409    0.0035
 5.00  7500. -5.0  2.0   0.6678    0.5381    0.0037
 1.50  7750. -5.0  2.0   0.6681    0.6335    0.0012
 2.00  7750. -5.0  2.0   0.6607    0.6468    0.0011
 2.50  7750. -5.0  2.0   0.6506    0.6676    0.0011
