RA,Dec,Efficiency
0.35341,0.90319,0.552
0.35341,0.98173,0.54
0.35341,1.06027,0.538
0.35341,1.13881,0.535
0.35341,1.21735,0.531
0.35341,1.29589,0.527
0.35341,1.37443,0.454
0.35341,1.45297,0.143
0.35341,1.53151,0.0
0.43195,-0.03929,0.806
0.43195,-0.11783,0.928
0.43195,-0.19637,0.923
0.43195,-0.27491,0.977
0.43195,-0.35345,0.935
0.43195,-0.43199,0.91
0.43195,-0.51053,0.781
0.43195,-0.58907,0.73
0.43195,-0.66761,0.685
0.43195,-0.74615,0.662
0.43195,-0.82469,0.615
0.43195,-0.90323,0.562
0.43195,-0.98177,0.538
0.43195,-1.06031,0.53
0.43195,-1.13885,0.523
0.43195,-1.21739,0.444
0.43195,-1.29593,0.051
0.43195,-1.37447,0.0
0.43195,-1.45301,0.0
0.43195,-1.53155,0.0
0.43195,0.03925,0.781
0.43195,0.11779,0.746
0.43195,0.19633,0.647
0.43195,0.27487,0.622
0.43195,0.35341,0.61
0.43195,0.43195,0.597
0.43195,0.51049,0.576
0.43195,0.58903,0.569
0.43195,0.66757,0.562
0.43195,0.74611,0.558
0.43195,0.82465,0.552
0.43195,0.90319,0.548
0.43195,0.98173,0.543
0.43195,1.06027,0.541
0.43195,1.13881,0.535
0.43195,1.21735,0.532
0.43195,1.29589,0.527
0.43195,1.37443,0.527
0.43195,1.45297,0.287
0.43195,1.53151,0.0
0.51049,-0.03929,0.756
0.51049,-0.11783,0.833
0.51049,-0.19637,0.928
0.51049,-0.27491,0.933
0.51049,-0.35345,0.977
0.51049,-0.43199,0.935
0.51049,-0.51053,0.91
0.51049,-0.58907,0.751
0.51049,-0.66761,0.713
0.51049,-0.74615,0.668
0.51049,-0.82469,0.638
0.51049,-0.90323,0.558
0.51049,-0.98177,0.527
0.51049,-1.06031,0.52
0.51049,-1.13885,0.518
0.51049,-1.21739,0.439
0.51049,-1.29593,0.0
0.51049,-1.37447,0.0
0.51049,-1.45301,0.0
0.51049,-1.53155,0.0
0.51049,0.03925,0.728
0.51049,0.11779,0.666
0.51049,0.19633,0.641
0.51049,0.27487,0.625
0.51049,0.35341,0.599
0.51049,0.43195,0.579
0.51049,0.51049,0.57
0.51049,0.58903,0.561
0.51049,0.66757,0.558
0.51049,0.74611,0.553
0.51049,0.82465,0.551
0.51049,0.90319,0.549
0.51049,0.98173,0.544
0.51049,1.06027,0.542
0.51049,1.13881,0.539
0.51049,1.21735,0.535
0.51049,1.29589,0.531
0.51049,1.37443,0.529
0.51049,1.45297,0.288
0.51049,1.53151,0.0
0.58903,-0.03929,0.702
0.58903,-0.11783,0.756
0.58903,-0.19637,0.833
0.58903,-0.27491,0.923
0.58903,-0.35345,0.977
0.58903,-0.43199,0.935
0.58903,-0.51053,0.91
0.58903,-0.58907,0.77
0.58903,-0.66761,0.713
0.58903,-0.74615,0.668
0.58903,-0.82469,0.638
0.58903,-0.90323,0.525
0.58903,-0.98177,0.52
0.58903,-1.06031,0.514
0.58903,-1.13885,0.472
0.58903,-1.21739,0.254
0.58903,-1.29593,0.0
0.58903,-1.37447,0.0
0.58903,-1.45301,0.0
0.58903,-1.53155,0.0
