CH 5250 4.0 -2.0 0.802926 0.545319 0.747271 0.550197
CH 5500 4.0 -2.0 0.759672 0.554124 0.757718 0.517390
CH 5750 4.0 -2.0 0.715872 0.572559 0.765497 0.481369
CH 6000 4.0 -2.0 0.680676 0.586734 0.772551 0.453227
CH 6250 4.0 -2.0 0.655956 0.589582 0.779950 0.435906
CH 6500 4.0 -2.0 0.643921 0.576751 0.787810 0.431731
CH 5000 4.0 -1.0 0.760085 0.705964 0.705872 0.465957
CH 5250 4.0 -1.0 0.741682 0.678054 0.721875 0.463557
CH 5500 4.0 -1.0 0.725482 0.658096 0.734266 0.459748
CH 5750 4.0 -1.0 0.709521 0.648286 0.743180 0.452701
CH 6000 4.0 -1.0 0.694785 0.635259 0.752535 0.447320
CH 6250 4.0 -1.0 0.682772 0.610716 0.764356 0.447128
CH 6500 4.0 -1.0 0.676767 0.571380 0.778679 0.455446
CH 4500 4.0 -0.5 0.705718 0.832755 0.690511 0.396230
CH 4750 4.0 -0.5 0.658093 0.828550 0.712476 0.370569
CH 5000 4.0 -0.5 0.646698 0.802299 0.724141 0.370839
CH 5250 4.0 -0.5 0.672173 0.756505 0.725706 0.397878
CH 5500 4.0 -0.5 0.697899 0.711170 0.728395 0.426293
CH 5750 4.0 -0.5 0.701249 0.672815 0.738631 0.439881
CH 6000 4.0 -0.5 0.691667 0.637383 0.752991 0.444657
CH 6250 4.0 -0.5 0.685362 0.601253 0.766416 0.451778
CH 6500 4.0 -0.5 0.683296 0.563877 0.778941 0.462238
CH 4500 4.0 +0.0 0.737887 0.876727 0.663967 0.401854
CH 4750 4.0 +0.0 0.732575 0.838500 0.677099 0.409674
CH 5000 4.0 +0.0 0.727780 0.794681 0.691764 0.419543
CH 5250 4.0 +0.0 0.726361 0.741481 0.708094 0.434455
CH 5500 4.0 +0.0 0.724813 0.692889 0.723566 0.448379
CH 5750 4.0 +0.0 0.718986 0.660185 0.735987 0.454972
CH 6000 4.0 +0.0 0.706895 0.636851 0.747720 0.454615
CH 6250 4.0 +0.0 0.689992 0.612225 0.761392 0.451384
CH 6500 4.0 +0.0 0.670083 0.583030 0.777238 0.447321
CH 4500 4.0 +0.5 0.741114 0.896408 0.657029 0.398143
CH 4750 4.0 +0.5 0.732066 0.869374 0.668655 0.400721
CH 5000 4.0 +0.5 0.726473 0.835040 0.680764 0.407237
CH 5250 4.0 +0.5 0.725269 0.792281 0.693524 0.418792
CH 5500 4.0 +0.5 0.730124 0.740500 0.706878 0.437003
CH 5000 4.5 -2.0 0.929492 0.457546 0.747386 0.676878
CH 5250 4.5 -2.0 0.883729 0.464099 0.756907 0.640636
CH 5500 4.5 -2.0 0.828876 0.484730 0.763464 0.592340
CH 5750 4.5 -2.0 0.768208 0.521054 0.767127 0.535335
CH 6000 4.5 -2.0 0.717523 0.560845 0.768889 0.486412
CH 6250 4.5 -2.0 0.687421 0.588697 0.769675 0.457096
CH 6500 4.5 -2.0 0.674803 0.602273 0.769700 0.444503
CH 5000 4.5 -1.0 0.788559 0.689830 0.700290 0.488849
CH 5250 4.5 -1.0 0.789930 0.630192 0.720436 0.510366
CH 5500 4.5 -1.0 0.782644 0.593896 0.735898 0.518542
CH 5750 4.5 -1.0 0.757743 0.587801 0.746426 0.504169
CH 6000 4.5 -1.0 0.727257 0.593069 0.754865 0.482121
CH 6250 4.5 -1.0 0.702055 0.593269 0.763295 0.465350
CH 6500 4.5 -1.0 0.680533 0.589626 0.771691 0.452225
CH 4500 4.5 -0.5 0.727975 0.774948 0.697461 0.425436
CH 4750 4.5 -0.5 0.731675 0.752959 0.702490 0.434165
CH 5000 4.5 -0.5 0.732731 0.730254 0.708958 0.441688
CH 5250 4.5 -0.5 0.730583 0.707834 0.716708 0.447291
CH 5500 4.5 -0.5 0.725797 0.684377 0.725848 0.451645
CH 5750 4.5 -0.5 0.718448 0.659647 0.736353 0.454801
CH 6000 4.5 -0.5 0.710878 0.633694 0.747300 0.458178
CH 6250 4.5 -0.5 0.703353 0.607588 0.758253 0.461606
CH 6500 4.5 -0.5 0.694531 0.583813 0.768859 0.463390
CH 6750 4.5 -0.5 0.681758 0.565249 0.779001 0.460758
CH 7000 4.5 -0.5 0.664617 0.552208 0.788635 0.453253
CH 4500 4.5 +0.0 0.746426 0.856936 0.665694 0.412119
CH 4750 4.5 +0.0 0.747494 0.812616 0.678091 0.425585
CH 5000 4.5 +0.0 0.745361 0.774985 0.690224 0.435585
CH 5250 4.5 +0.0 0.740639 0.741711 0.702285 0.442924
CH 5500 4.5 +0.0 0.733045 0.710816 0.714827 0.447872
CH 5750 4.5 +0.0 0.723919 0.676980 0.728873 0.452792
CH 6000 4.5 +0.0 0.715452 0.643777 0.742463 0.457914
CH 6250 4.5 +0.0 0.713126 0.612802 0.753205 0.466331
CH 6500 4.5 +0.0 0.711151 0.583354 0.763478 0.474630
CH 6750 4.5 +0.0 0.705195 0.550755 0.776215 0.481411
CH 7000 4.5 +0.0 0.693942 0.516110 0.791300 0.485242
CH 4500 4.5 +0.5 0.653631 0.880752 0.701346 0.354977
CH 4750 4.5 +0.5 0.706578 0.856603 0.683631 0.390209
CH 5000 4.5 +0.5 0.733179 0.831011 0.678967 0.412146
CH 5250 4.5 +0.5 0.735001 0.799029 0.687430 0.422431
CH 5500 4.5 +0.5 0.721931 0.761052 0.704056 0.425987
CH 5750 4.5 +0.5 0.719785 0.717221 0.718037 0.437822
CH 6000 4.5 +0.5 0.729519 0.670045 0.728974 0.458493
CH 5000 5.0 -2.0 0.963390 0.409010 0.762177 0.725568
CH 5250 5.0 -2.0 0.933421 0.418928 0.764759 0.698180
CH 5500 5.0 -2.0 0.903169 0.429787 0.767318 0.670487
CH 5000 5.0 -1.0 0.807408 0.659509 0.703757 0.511165
CH 5250 5.0 -1.0 0.806287 0.621171 0.717915 0.524202
CH 5500 5.0 -1.0 0.809105 0.580229 0.732071 0.541176
CH 4500 5.0 -0.5 0.733327 0.723374 0.710834 0.444161
CH 4750 5.0 -0.5 0.731846 0.760259 0.700229 0.432074
CH 4500 5.0 +0.0 0.755145 0.794574 0.680206 0.435351
CH 4750 5.0 +0.0 0.775008 0.776686 0.677369 0.452377
CH 5000 5.0 +0.0 0.780405 0.753723 0.682431 0.462836
CH 5250 5.0 +0.0 0.772054 0.723840 0.695412 0.467466
CH 5500 5.0 +0.0 0.749997 0.685980 0.716189 0.466185
CH 5000 5.0 +0.5 0.740152 0.823188 0.678176 0.418328
CH 5250 5.0 +0.5 0.742579 0.783169 0.688925 0.431504
CH 5500 5.0 +0.5 0.747147 0.741681 0.699678 0.446825
Ke 4000 1.5 -1.0 0.739189 0.916860 0.652330 0.391519
Ke 4250 1.5 -1.0 0.731872 0.839904 0.677011 0.408883
Ke 4500 1.5 -1.0 0.732656 0.753882 0.701813 0.434469
Ke 4000 2.0 -2.0 0.771772 0.832400 0.661651 0.433422
Ke 4250 2.0 -2.0 0.775205 0.735696 0.690328 0.465532
Ke 4500 2.0 -2.0 0.797732 0.626247 0.719086 0.516818
Ke 4000 2.0 -1.0 0.725306 0.954573 0.648948 0.374254
Ke 4250 2.0 -1.0 0.726770 0.879256 0.668337 0.395107
Ke 4500 2.0 -1.0 0.734316 0.798723 0.687811 0.422127
Ke 4000 2.0 -0.5 0.705398 0.915718 0.668519 0.373918
Ke 4250 2.0 -0.5 0.697891 0.873588 0.683009 0.380900
Ke 4500 2.0 -0.5 0.691619 0.830119 0.697405 0.389024
Ke 4000 2.0 +0.0 0.716018 0.983667 0.646067 0.362085
Ke 4250 2.0 +0.0 0.736178 0.881486 0.663426 0.399603
Ke 4500 2.0 +0.0 0.737767 0.795180 0.687387 0.425154
Ke 4750 2.0 +0.0 0.718167 0.719851 0.717875 0.436043
Ke 5000 2.0 +0.0 0.675390 0.650554 0.754857 0.430247
Ke 4000 2.5 -2.0 0.753616 0.810797 0.675996 0.429611
Ke 4250 2.5 -2.0 0.792051 0.719815 0.688863 0.480914
Ke 4500 2.5 -2.0 0.816527 0.652288 0.703005 0.519532
Ke 4750 2.5 -2.0 0.819059 0.608043 0.718314 0.537373
Ke 5000 2.5 -2.0 0.793467 0.586829 0.734827 0.528294
Ke 5250 2.5 -2.0 0.734109 0.593433 0.752432 0.486541
Ke 5500 2.5 -2.0 0.643580 0.633737 0.771210 0.414790
Ke 4000 2.5 -1.0 0.729020 0.931725 0.653155 0.382175
Ke 4250 2.5 -1.0 0.729435 0.874618 0.668398 0.397833
Ke 4500 2.5 -1.0 0.733510 0.813995 0.683714 0.417224
Ke 4000 2.5 -0.5 0.711611 0.924862 0.663216 0.374827
Ke 4250 2.5 -0.5 0.691499 0.921839 0.673499 0.364998
Ke 4500 2.5 -0.5 0.678629 0.887994 0.688078 0.366708
Ke 4750 2.5 -0.5 0.675738 0.820435 0.706913 0.382651
Ke 5000 2.5 -0.5 0.692094 0.713332 0.730021 0.422115
Ke 4000 2.5 +0.0 0.724398 0.969412 0.645562 0.369960
Ke 4250 2.5 +0.0 0.722835 0.916901 0.660011 0.382846
Ke 4500 2.5 +0.0 0.720497 0.867657 0.674361 0.394859
Ke 4750 2.5 +0.0 0.718205 0.819680 0.688707 0.406912
Ke 5000 2.5 +0.0 0.716577 0.771834 0.703103 0.419679
Ke 4000 2.5 +0.5 0.714192 1.032461 0.634959 0.349151
Ke 4250 2.5 +0.5 0.727101 0.964000 0.645635 0.372736
Ke 4500 2.5 +0.5 0.743837 0.893957 0.656449 0.400285
Ke 4500 3.0 -1.0 0.734259 0.851181 0.672763 0.407022
Ke 4750 3.0 -1.0 0.718321 0.808744 0.691753 0.410074
Ke 5000 3.0 -1.0 0.704688 0.762513 0.710704 0.415391
Ke 5250 3.0 -1.0 0.694421 0.711219 0.729734 0.424155
Ke 5500 3.0 -1.0 0.689352 0.653908 0.748770 0.438122
Ke 5000 3.0 -0.5 0.678560 0.782487 0.715930 0.394490
Ke 5250 3.0 -0.5 0.682078 0.726807 0.730061 0.412138
Ke 5500 3.0 -0.5 0.691160 0.666552 0.744278 0.435438
Ke 4500 3.0 +0.0 0.721990 0.894797 0.666313 0.388303
